Country,Total Case,Closed Case,Total Death,Death Rate
Italy,74386,16865,7503,44.49
Spain,47610,8801,3434,39.02
China,81218,76931,3281,4.26
Iran,27017,11702,2077,17.75
France,25233,5231,1331,25.44
USA,62505,1267,880,69.46
UK,8264,570,435,76.32
Netherlands,6412,359,356,99.16
Germany,37098,3753,206,5.49
Belgium,4937,725,178,24.55
Switzerland,10897,284,153,53.87
S. Korea,9137,3856,126,3.27
Indonesia,790,89,58,65.17
Brazil,2274,49,47,95.92
Japan,1307,355,45,12.68
Turkey,1872,70,44,62.86
Sweden,2526,60,44,73.33
Portugal,2995,65,43,66.15
Philippines,636,64,38,59.38
Denmark,1724,35,34,97.14
Canada,3290,215,30,13.95
Austria,5588,39,30,76.92
Iraq,346,132,29,21.97
Ecuador,1173,31,28,90.32
Greece,821,58,22,37.93
San Marino,187,25,21,84.0
Algeria,302,86,21,24.42
Egypt,442,114,21,18.42
Malaysia,1796,219,20,9.13
Norway,3052,20,14,70.0
Poland,1031,16,14,87.5
Romania,906,100,14,14.0
India,606,53,11,20.75
Dominican Republic,392,13,10,76.92
Hungary,226,31,10,32.26
Diamond Princess,712,597,10,1.68
Australia,2431,127,9,7.09
Peru,480,10,9,90.0
Panama,443,9,8,88.89
Luxembourg,1333,14,8,57.14
Pakistan,1022,29,8,27.59
Argentina,387,60,8,13.33
Ireland,1329,12,7,58.33
Morocco,225,13,6,46.15
Czechia,1654,16,6,37.5
Tunisia,173,7,5,71.43
Slovenia,528,15,5,33.33
Israel,2369,63,5,7.94
Albania,146,22,5,22.73
Bangladesh,39,12,5,41.67
Mexico,405,9,5,55.56
Ukraine,116,5,4,80.0
Burkina Faso,114,11,4,36.36
Lithuania,274,5,4,80.0
Lebanon,333,12,4,33.33
Hong Kong,410,106,4,3.77
Serbia,384,19,4,21.05
Bahrain,419,181,4,2.21
Thailand,934,74,4,5.41
Russia,658,32,3,9.38
Ghana,68,3,3,100.0
Cyprus,132,6,3,50.0
Paraguay,37,3,3,100.0
Bosnia and Herzegovina,173,5,3,60.0
North Macedonia,177,4,3,75.0
Finland,880,13,3,23.08
Chile,1142,25,3,12.0
Colombia,470,9,3,33.33
Bulgaria,242,7,3,42.86
Azerbaijan,93,12,2,16.67
Mauritius,48,2,2,100.0
DRC,48,2,2,100.0
UAE,333,54,2,3.7
Singapore,631,162,2,1.23
Afghanistan,84,4,2,50.0
Saudi Arabia,900,31,2,6.45
Taiwan,235,31,2,6.45
Iceland,737,58,2,3.45
Costa Rica,177,4,2,50.0
Sudan,3,1,1,100.0
Guyana,5,1,1,100.0
Gabon,6,1,1,100.0
Cabo Verde,4,1,1,100.0
Curaçao,6,1,1,100.0
Cayman Islands,6,1,1,100.0
Niger,7,1,1,100.0
Guatemala,24,5,1,20.0
Jamaica,25,3,1,33.33
Gambia,3,1,1,100.0
Guadeloupe,73,1,1,100.0
Nigeria,46,3,1,33.33
Montenegro,52,1,1,100.0
Martinique,57,1,1,100.0
Cuba,57,2,1,50.0
Palestine,64,17,1,5.88
Cameroon,70,3,1,33.33
Estonia,404,9,1,11.11
Moldova,149,3,1,33.33
Andorra,188,2,1,50.0
Croatia,442,23,1,4.35
Zimbabwe,3,1,1,100.0
